date_dt,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_SENTIMENT_DAILY_MAX,TWITTER_NEUTRAL_SENTIMENT_CNT,TWITTER_SENTIMENT_DAILY_MIN,NEWS_SENTIMENT_DAILY_AVG
2021-04-02,0.0032,10.0,1.0,1.0,0.1068,14.0,-0.1068,-0.6321
2021-04-03,0.0019,174.0,2.0,8.0,0.1068,169.0,-0.1068,0.0005
2021-04-04,0.0019,174.0,2.0,8.0,0.1068,169.0,-0.1068,0.0005
2021-04-05,0.0019,174.0,2.0,8.0,0.1068,169.0,-0.1068,0.0005
2021-04-06,0.0025,41.0,1.0,2.0,0.107,34.0,0.0,0.0
2021-04-07,0.0277,85.0,2.0,11.0,0.3479,69.0,-0.1068,0.0
2021-04-08,0.09,353.0,8.0,80.0,0.8619,247.0,-0.0863,0.1286
2021-04-09,0.09,353.0,8.0,80.0,0.8619,247.0,-0.0863,0.2548
2021-04-10,0.09,353.0,8.0,80.0,0.8619,247.0,-0.0863,0.8705
2021-04-11,0.09,353.0,8.0,80.0,0.8619,247.0,-0.0863,0.8705
2021-04-12,0.09,353.0,8.0,80.0,0.8619,247.0,-0.0863,0.8705
2021-04-13,0.09,353.0,8.0,80.0,0.8619,247.0,-0.0863,0.0047
2021-04-14,0.0331,1820.0,53.0,260.0,0.7954,1363.0,-0.0187,0.078
2021-04-15,0.0064,7425.0,241.0,544.0,0.1311,6209.0,-0.0053,0.0101
2021-04-16,-0.0073,27665.0,2092.0,1964.0,0.0867,22738.0,-0.0229,0.0903
2021-04-17,-0.0099,6715.0,563.0,563.0,0.2201,5262.0,-0.094,0.1233
2021-04-18,-0.0099,6715.0,563.0,563.0,0.2201,5262.0,-0.094,0.1233
2021-04-19,-0.0099,6715.0,563.0,563.0,0.2201,5262.0,-0.094,0.1233
2021-04-20,-0.0069,2046.0,152.0,125.0,0.052,1694.0,-0.1547,-0.1008
2021-04-21,-0.0074,1904.0,140.0,134.0,0.072,1512.0,-0.2915,-0.0462
2021-04-22,-0.0075,1988.0,149.0,138.0,0.1807,1606.0,-0.0597,-0.0079
