Category: All categories

Week,bitcoin boom: (Worldwide),make bitcoin: (Worldwide),bitmex: (Worldwide),long bitcoin: (Worldwide)
2021-04-11,5,80,37,85
2021-04-18,3,81,40,100
2021-04-25,3,71,35,65
2021-05-02,3,80,36,80
2021-05-09,3,86,41,92
2021-05-16,3,89,45,98
2021-05-23,7,75,37,77
2021-05-30,3,57,31,53
2021-06-06,3,60,42,58
2021-06-13,1,48,31,51
2021-06-20,2,51,30,53
2021-06-27,2,44,23,46
2021-07-04,0,38,21,36
2021-07-11,0,41,22,36
2021-07-18,0,47,23,36
2021-07-25,2,46,24,45
2021-08-01,1,41,23,37
2021-08-08,2,42,38,40
2021-08-15,2,41,29,37
2021-08-22,2,45,29,37
2021-08-29,0,44,25,36
2021-09-05,2,53,25,42
2021-09-12,0,46,24,36
2021-09-19,0,51,28,40
2021-09-26,2,42,24,36
2021-10-03,0,48,24,40
2021-10-10,3,57,38,50
2021-10-17,3,62,38,55
2021-10-24,1,55,26,54
2021-10-31,1,54,29,49
2021-11-07,2,63,32,54
2021-11-14,0,63,23,50
2021-11-21,3,56,24,46
2021-11-28,3,53,26,51
2021-12-05,1,55,25,49
2021-12-12,2,51,21,42
2021-12-19,0,59,59,39
2021-12-26,2,51,31,47
2022-01-02,2,68,34,60
2022-01-09,2,69,26,45
2022-01-16,3,65,33,58
2022-01-23,4,77,36,65
2022-01-30,0,57,47,53
2022-02-06,3,60,32,53
2022-02-13,1,52,28,46
2022-02-20,1,57,26,49
2022-02-27,2,55,24,47
2022-03-06,2,50,23,40
2022-03-13,1,46,21,36
2022-03-20,2,52,23,38
2022-03-27,1,51,25,41
2022-04-03,1,50,23,39
2022-04-10,1,47,27,36
2022-04-17,2,45,22,35
2022-04-24,1,46,17,35
2022-05-01,0,46,22,41
2022-05-08,2,63,32,61
2022-05-15,2,47,28,45
2022-05-22,1,43,23,36
2022-05-29,2,35,23,36
2022-06-05,1,39,21,36
2022-06-12,3,56,29,72
2022-06-19,2,53,24,51
2022-06-26,2,41,20,39
2022-07-03,0,38,20,39
2022-07-10,1,40,15,38
2022-07-17,0,41,18,38
2022-07-24,1,37,15,34
2022-07-31,0,34,14,34
2022-08-07,0,36,21,31
2022-08-14,0,31,16,33
2022-08-21,1,36,18,28
2022-08-28,0,29,19,30
2022-09-04,2,34,21,28
2022-09-11,2,32,15,29
2022-09-18,1,32,17,29
2022-09-25,0,26,16,25
2022-10-02,1,28,15,26
2022-10-09,1,27,20,27
2022-10-16,0,24,15,22
2022-10-23,0,28,15,23
2022-10-30,0,24,15,27
2022-11-06,0,37,38,38
2022-11-13,1,35,27,36
2022-11-20,1,25,16,26
2022-11-27,2,28,13,25
2022-12-04,0,27,14,21
2022-12-11,0,27,16,27
2022-12-18,0,25,12,22
2022-12-25,0,25,11,25
2023-01-01,2,28,14,22
2023-01-08,1,29,15,28
2023-01-15,0,34,15,33
2023-01-22,0,31,13,26
2023-01-29,2,33,12,28
2023-02-05,1,27,13,25
2023-02-12,1,28,13,22
2023-02-19,1,25,16,23
2023-02-26,0,27,13,25
2023-03-05,0,23,13,25
2023-03-12,2,31,19,28
2023-03-19,0,37,22,33
2023-03-26,0,32,14,30
2023-04-02,0,31,13,26
2023-04-09,1,33,14,32
2023-04-16,1,30,11,31
2023-04-23,0,29,14,25
2023-04-30,2,26,14,27
2023-05-07,1,26,15,30
2023-05-14,0,24,10,24
2023-05-21,0,24,9,22
2023-05-28,0,25,11,22
2023-06-04,2,23,11,25
2023-06-11,0,25,11,23
2023-06-18,1,26,11,27
2023-06-25,1,28,10,28
2023-07-02,1,32,8,25
2023-07-09,1,28,9,25
2023-07-16,0,23,11,29
2023-07-23,1,25,9,27
2023-07-30,2,26,9,24
2023-08-06,0,27,10,24
2023-08-13,2,25,13,27
2023-08-20,0,27,8,22
2023-08-27,1,23,10,22
2023-09-03,0,25,10,25
2023-09-10,0,22,9,23
2023-09-17,0,23,8,21
2023-09-24,1,23,8,23
2023-10-01,0,22,8,23
2023-10-08,2,21,7,20
2023-10-15,1,23,7,25
2023-10-22,2,30,8,32
2023-10-29,2,32,12,28
2023-11-05,1,27,11,33
2023-11-12,0,29,10,32
2023-11-19,0,27,14,28
2023-11-26,0,25,12,26
2023-12-03,2,33,12,42
2023-12-10,0,29,13,32
2023-12-17,0,33,11,34
2023-12-24,3,29,11,33
2023-12-31,0,34,12,38
2024-01-07,1,47,13,45
2024-01-14,0,31,11,34
2024-01-21,2,32,12,34
2024-01-28,0,30,13,33
2024-02-04,0,33,10,29
2024-02-11,2,36,12,39
2024-02-18,0,32,12,33
2024-02-25,4,49,16,60
2024-03-03,4,56,21,74
2024-03-10,3,57,20,69
2024-03-17,2,44,82,50
2024-03-24,2,43,19,46
