Category: All categories

Week,bitcoin price: (Worldwide),buy bitcoin: (Worldwide),bitcoin: (Worldwide),coinbase: (Worldwide)
2021-04-11,13,1,54,24
2021-04-18,17,1,70,10
2021-04-25,13,1,51,6
2021-05-02,11,1,43,10
2021-05-09,16,1,59,11
2021-05-16,29,1,100,9
2021-05-23,21,1,68,6
2021-05-30,15,1,50,6
2021-06-06,14,1,55,4
2021-06-13,11,1,39,4
2021-06-20,14,1,49,3
2021-06-27,9,<1,35,3
2021-07-04,7,<1,29,3
2021-07-11,7,<1,28,3
2021-07-18,9,<1,34,2
2021-07-25,10,<1,39,3
2021-08-01,9,<1,34,3
2021-08-08,10,<1,35,4
2021-08-15,8,<1,32,4
2021-08-22,9,<1,33,4
2021-08-29,7,<1,27,4
2021-09-05,10,1,38,5
2021-09-12,7,<1,28,4
2021-09-19,9,<1,35,3
2021-09-26,7,<1,28,3
2021-10-03,9,<1,32,5
2021-10-10,9,1,36,5
2021-10-17,13,1,47,5
2021-10-24,10,1,37,10
2021-10-31,8,1,31,8
2021-11-07,10,1,37,8
2021-11-14,10,1,36,7
2021-11-21,10,1,37,6
2021-11-28,10,1,36,6
2021-12-05,12,1,39,5
2021-12-12,10,<1,35,5
2021-12-19,9,<1,33,5
2021-12-26,9,<1,31,4
2022-01-02,10,1,41,6
2022-01-09,10,1,39,5
2022-01-16,11,1,40,5
2022-01-23,16,1,51,6
2022-01-30,11,1,38,5
2022-02-06,10,1,36,5
2022-02-13,8,<1,30,6
2022-02-20,11,<1,42,4
2022-02-27,9,<1,37,4
2022-03-06,8,<1,31,4
2022-03-13,7,<1,29,4
2022-03-20,6,<1,27,4
2022-03-27,7,<1,31,4
2022-04-03,6,<1,26,4
2022-04-10,6,<1,26,3
2022-04-17,5,<1,23,3
2022-04-24,5,<1,24,3
2022-05-01,6,<1,24,3
2022-05-08,16,1,55,6
2022-05-15,11,<1,37,3
2022-05-22,8,<1,29,3
2022-05-29,7,<1,27,2
2022-06-05,7,<1,24,2
2022-06-12,23,1,67,4
2022-06-19,17,<1,54,3
2022-06-26,12,<1,38,2
2022-07-03,10,<1,33,2
2022-07-10,9,<1,31,2
2022-07-17,9,<1,30,3
2022-07-24,8,<1,27,2
2022-07-31,7,<1,24,3
2022-08-07,6,<1,22,3
2022-08-14,6,<1,23,2
2022-08-21,6,<1,22,2
2022-08-28,6,<1,21,2
2022-09-04,6,<1,23,2
2022-09-11,6,<1,22,2
2022-09-18,7,<1,24,2
2022-09-25,6,<1,21,2
2022-10-02,5,<1,19,2
2022-10-09,5,<1,17,2
2022-10-16,4,<1,16,2
2022-10-23,4,<1,18,2
2022-10-30,4,<1,17,2
2022-11-06,10,<1,33,3
2022-11-13,10,<1,31,2
2022-11-20,7,<1,23,2
2022-11-27,6,<1,20,2
2022-12-04,5,<1,19,2
2022-12-11,5,<1,20,2
2022-12-18,5,<1,18,1
2022-12-25,5,1,18,1
2023-01-01,4,1,18,2
2023-01-08,5,<1,20,2
2023-01-15,6,<1,24,2
2023-01-22,6,<1,22,2
2023-01-29,6,<1,21,2
2023-02-05,5,<1,19,2
2023-02-12,5,<1,19,2
2023-02-19,5,<1,20,2
2023-02-26,4,<1,18,2
2023-03-05,5,<1,18,2
2023-03-12,8,<1,28,2
2023-03-19,8,<1,27,2
2023-03-26,6,<1,23,2
2023-04-02,6,<1,21,2
2023-04-09,6,<1,25,2
2023-04-16,6,<1,22,2
2023-04-23,6,<1,21,1
2023-04-30,5,<1,19,2
2023-05-07,5,<1,20,2
2023-05-14,4,<1,17,1
2023-05-21,4,<1,17,1
2023-05-28,4,<1,16,1
2023-06-04,5,<1,18,2
2023-06-11,4,<1,18,2
2023-06-18,5,<1,21,1
2023-06-25,5,<1,19,2
2023-07-02,5,<1,19,2
2023-07-09,5,<1,19,2
2023-07-16,4,<1,19,2
2023-07-23,4,<1,18,1
2023-07-30,4,<1,17,2
2023-08-06,4,<1,17,2
2023-08-13,4,<1,19,1
2023-08-20,4,<1,19,1
2023-08-27,4,<1,19,1
2023-09-03,3,<1,17,1
2023-09-10,3,<1,16,1
2023-09-17,3,<1,16,1
2023-09-24,3,<1,15,1
2023-10-01,4,<1,16,1
2023-10-08,3,<1,15,1
2023-10-15,4,<1,18,1
2023-10-22,7,<1,26,2
2023-10-29,5,<1,21,2
2023-11-05,6,<1,22,2
2023-11-12,5,<1,22,2
2023-11-19,5,<1,20,2
2023-11-26,5,<1,20,2
2023-12-03,9,<1,30,3
2023-12-10,6,<1,24,2
2023-12-17,6,<1,24,2
2023-12-24,6,<1,23,2
2023-12-31,7,<1,28,2
2024-01-07,10,1,43,2
2024-01-14,6,<1,25,2
2024-01-21,6,<1,23,2
2024-01-28,5,<1,19,2
2024-02-04,5,<1,20,2
2024-02-11,8,<1,29,3
2024-02-18,6,<1,23,2
2024-02-25,12,1,41,4
2024-03-03,14,1,52,5
2024-03-10,14,1,47,4
2024-03-17,11,<1,38,3
2024-03-24,10,<1,34,4
